Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1;06/11/2001;41;48;15;7;24;50;000;0;;;000;SIM;588.51968;0;0.0;0;0;0;0;43;37;41;49;44;9;0;000;55;2.31759;1307;9716;0;0;000;000
2;09/11/2001;11;38;32;4;9;42;000;0;;;000;SIM;867.33646;0;0.0;0;0;0;0;13;9;46;29;19;24;0;000;35;2.6554;2014;4598;0;0;000;000
3;13/11/2001;42;34;11;44;45;47;000;0;;;000;SIM;1.164.69174;0;0.0;0;0;0;0;24;47;48;30;40;12;0;000;21;4.719930000000001;1264;7813;0;0;000;000
4;16/11/2001;38;44;50;46;43;29;000;0;;;000;SIM;1.420.72793;0;0.0;0;0;0;0;44;46;2;7;49;11;0;000;8;10.66817;1042;8159;0;0;000;000
5;20/11/2001;32;16;12;40;25;7;000;0;;;000;SIM;1.720.94960;0;0.0;0;0;0;0;12;19;3;49;10;26;0;000;34;2.94335;1804;5526;0;0;000;000
6;23/11/2001;16;14;31;13;41;9;000;0;;;000;SIM;2.070.56576;0;0.0;0;0;0;0;2;31;42;35;36;47;0;000;16;7.28367;1160;10009;0;0;000;000
7;27/11/2001;24;32;9;17;6;23;000;0;;;000;SIM;2.435.46045;0;0.0;0;0;0;0;45;30;5;28;32;8;0;000;35;3.47519;2040;5940;0;0;000;000
8;30/11/2001;29;32;11;39;38;24;000;0;;;000;SIM;2.770.14178;0;0.0;0;0;0;0;39;2;30;31;17;14;0;000;22;5.070930000000001;1279;8689;0;0;000;000
9;04/12/2001;44;22;37;18;42;10;000;1;;RS;2.979.72632;NÃO;000;0;0.0;0;0;0;0;26;31;42;46;10;37;0;000;17;8.21901;1300;10708;0;0;000;000
10;07/12/2001;31;19;44;34;17;39;000;0;;;000;SIM;496.27076;0;0.0;0;0;0;0;24;20;11;4;40;5;0;000;31;3.08265;1342;7094;0;0;000;000
11;11/12/2001;4;36;27;2;8;43;000;0;;;000;SIM;779.32259;0;0.0;0;0;0;0;43;5;8;45;17;40;0;000;12;7.86255;1159;8111;0;0;000;000
12;14/12/2001;28;29;48;21;45;12;000;0;;;000;SIM;1.068.49822;0;0.0;0;0;0;0;15;18;25;31;19;20;0;000;22;4.38145;1316;7298;0;0;000;000
13;18/12/2001;1;3;31;33;37;46;000;0;;;000;SIM;1.366.57916;0;0.0;0;0;0;0;43;31;4;13;49;47;0;000;26;3.82155;1503;6586;0;0;000;000
14;21/12/2001;47;6;39;38;33;7;000;0;;;000;SIM;1.669.79479;0;0.0;0;0;0;0;19;26;12;5;14;16;0;000;36;2.80755;2196;4586;0;0;000;000
15;28/12/2001;43;44;40;30;4;32;000;0;;;000;SIM;2.082.12200;0;0.0;0;0;0;0;23;20;7;28;13;34;0;000;35;3.9269300000000005;2057;6657;0;0;000;000
16;04/01/2002;25;21;46;26;19;41;000;0;;;000;SIM;2.319.05608;0;0.0;0;0;0;0;22;6;5;31;38;27;1;236.93409;28;5.641290000000001;1927;8166;0;0;000;000
17;08/01/2002;3;5;44;43;47;14;000;0;;;000;SIM;2.673.26376;0;0.0;0;0;0;0;27;43;37;36;1;2;0;000;14;8.43352;1337;8798;0;0;000;000
18;11/01/2002;28;35;50;41;15;27;000;0;;;000;SIM;3.060.90889;0;0.0;0;0;0;0;1;13;23;14;22;38;0;000;17;7.60088;1485;8668;0;0;000;000
19;15/01/2002;10;19;34;33;25;5;000;0;;;000;SIM;3.460.93490;0;0.0;0;0;0;0;47;32;39;27;15;24;0;000;62;2.15068;2252;5899;0;0;000;000
20;18/01/2002;7;13;26;16;49;45;000;0;;;000;SIM;3.867.19194;0;0.0;0;0;0;0;18;39;48;43;25;47;0;000;40;3.3854800000000003;2245;6010;0;0;000;000
21;22/01/2002;37;30;14;44;17;6;000;0;;;000;SIM;4.245.92586;0;0.0;0;0;0;0;14;9;24;6;26;20;0;000;24;5.2602;1767;7118;0;0;000;000
22;25/01/2002;2;42;27;34;17;29;000;1;;PR;4.431.62773;NÃO;000;0;0.0;0;0;0;0;13;43;28;7;42;34;0;000;57;2.17195;2962;4164;0;0;000;000
23;29/01/2002;9;8;42;22;11;10;000;0;;;000;SIM;418.70844;0;0.0;0;0;0;0;37;4;8;7;34;20;0;000;17;4.56876;1059;7307;0;0;000;000
