Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time_Coração;Valor_Arrecadado;Ganhadores_7_Números;Cidade;UF;Ganhadores_6_Números;Ganhadores_5_Números;Ganhadores_4_Números;Ganhadores_3_Números;Ganhadores_Time_Coração;Valor_Rateio_7_Números;Valor_Rateio_6_Números;Valor_Rateio_5_Números;Valor_Rateio_4_Números;Valor_Rateio_3_Números;Valor_Time_Coração;Valor_Acumulado;Estimativa_Premio
1;01/03/2008;71;51;63;57;24;80;31;PALMAS/TO;000;0;;;6;328;6032;60403;13122;000;59.9099;73061.0;600;200;200;479.27920;1.000.00000
2;08/03/2008;77;18;31;25;20;63;50;SÃO PAULO/SP;000;0;;;10;316;5882;58525;104390;000;28.09791;59279.0;600;200;200;853.91798;1.200.00000
3;15/03/2008;36;43;9;74;72;29;21;NÁUTICO/PE;000;0;;;7;339;6107;59464;15486;000;47.35451;65188.0;600;200;200;1.295.89336;1.500.00000
4;22/03/2008;66;71;15;38;70;68;54;SÃO RAIMUNDO/AM;000;0;;;3;251;4335;41945;8069;000;91.37801;72811.0;600;200;200;2.076.75678;2.500.00000
5;29/03/2008;15;58;24;20;23;54;51;MIXTO/MT;000;0;;;4;286;6299;62221;11655;000;71.07474;66270.0;600;200;200;2.455.82202;2.800.00000
6;05/04/2008;55;60;8;17;80;1;59;RIO BRANCO/AC;000;0;;;13;485;8170;73407;7956;000;24.91739;44526.0;600;200;200;2.887.72354;3.200.00000
7;13/04/2008;42;15;77;37;18;55;29;UBERLÂNDIA/MG;000;0;;;11;520;8025;68820;9684;000;26.96779;38031.0;600;200;200;3.283.25112;3.500.00000
8;20/04/2008;75;48;76;50;71;61;74;ATLÉTICO/MG;000;0;;;4;160;3535;37706;41652;000;72.8977;1.21496;600;200;200;3.672.03887;4.000.00000
9;27/04/2008;5;56;69;37;78;24;58;PALMAS/TO;000;0;;;10;365;6786;60068;10484;000;27.87595;50915.0;600;200;200;4.535.45860;5.000.00000
10;04/05/2008;23;74;37;14;1;53;59;JI-PARANÁ / RO;000;0;;;7;329;5926;57026;13880;000;40.55659;57527.0;600;200;200;4.913.98678;5.300.00000
11;10/05/2008;37;75;3;12;71;11;50;PAULISTA/SP;000;0;;;4;278;6236;62546;7719;000;74.92028;71866.0;600;200;200;5.313.56159;5.500.00000
12;17/05/2008;15;2;73;13;24;56;39;AMÉRICA/RN;000;0;;;14;484;8180;72164;8344;000;19.87809;38332.0;600;200;200;5.684.61913;6.000.00000
13;24/05/2008;75;37;6;79;73;28;32;UNIÃO BARBARENSE/SP;000;0;;;11;307;5541;53928;5895;000;25.62944;61221.0;600;200;200;6.060.51756;6.500.00000
14;31/05/2008;68;15;19;51;60;57;32;BRASILIENSE/DF;000;0;;;7;319;6465;63078;14132;000;44.9495;65757.0;600;200;200;6.966.19319;7.500.00000
15;08/06/2008;3;58;20;21;9;25;64;VILA NOVA/GO;000;0;;;15;518;8328;70267;13094;000;21.36489;41245.0;600;200;200;7.393.49089;7.800.00000
16;15/06/2008;57;5;52;59;38;55;42;FORTALEZA/CE;000;1;;BA;5;389;8245;72098;26605;7.818.10856;63.69265;54578.0;600;200;200;000;500.00000
17;22/06/2008;10;50;23;12;30;20;53;FIGUEIRENSE/SC;000;0;;;10;256;4344;38401;8187;000;18.1552;47279.0;600;200;200;242.06938;500.00000
18;29/06/2008;33;54;63;26;15;9;70;PORTUGUESA DESPORTOS/SP;000;0;;;5;187;3825;37173;7782;000;34.87021;62158.0;600;200;200;474.53742;700.00000
